ticket_id,category,description,resolution_action,resolution_note,time_to_resolve_min,csat
H-1000,missing_item,milk packet missing from my order,redelivery,missing item re-sent,32,5
H-1001,wrong_item,received someone else's order,redelivery,correct item dispatched,7,5
H-1002,wrong_item,received someone else's order,redelivery,correct item dispatched,16,3
H-1003,quality_issue,eggs broken in package,full_refund,refunded order,41,3
H-1004,quality_issue,eggs broken in package,full_refund,refunded order,30,4
H-1005,wrong_item,got salted butter instead of unsalted,redelivery,correct item dispatched,6,5
H-1006,refund_pending,money not back for cancelled order,escalation,sent to payments team,29,3
H-1007,missing_item,milk packet missing from my order,redelivery,missing item re-sent,41,4
H-1008,quality_issue,fruits were rotten,full_refund,refunded order,39,3
H-1009,wrong_item,received someone else's order,redelivery,correct item dispatched,39,3
H-1010,refund_pending,refund not received after 5 days,refund_reissue,refund re-triggered,28,3
H-1011,quality_issue,curd delivered warm and spoiled,partial_refund,refunded item,44,3
H-1012,missing_item,1 of 3 items missing from delivery,redelivery,missing item re-sent,29,4
H-1013,wrong_item,wrong brand of rice delivered,partial_refund,refunded difference,28,3
H-1014,quality_issue,curd delivered warm and spoiled,full_refund,refunded order,42,3
H-1015,refund_pending,refund shows processed but not in bank,refund_reissue,refund re-triggered,32,5
H-1016,missing_item,1 of 3 items missing from delivery,redelivery,missing item re-sent,4,4
H-1017,missing_item,milk packet missing from my order,partial_refund,refunded item value,9,4
H-1018,refund_pending,refund not received after 5 days,escalation,sent to payments team,8,4
H-1019,wrong_item,received someone else's order,redelivery,correct item dispatched,6,4
H-1020,missing_item,1 of 3 items missing from delivery,partial_refund,refunded item value,22,3
H-1021,wrong_item,received someone else's order,partial_refund,refunded difference,42,5
H-1022,wrong_item,got salted butter instead of unsalted,redelivery,correct item dispatched,40,5
H-1023,missing_item,ordered 5 items got only 4,partial_refund,refunded item value,12,5
H-1024,refund_pending,refund shows processed but not in bank,refund_reissue,refund re-triggered,10,5
H-1025,quality_issue,eggs broken in package,partial_refund,refunded item,33,5
H-1026,wrong_item,received someone else's order,partial_refund,refunded difference,33,4
H-1027,missing_item,ordered 5 items got only 4,redelivery,missing item re-sent,8,4
H-1028,quality_issue,eggs broken in package,partial_refund,refunded item,44,4
H-1029,missing_item,bread not in the bag,partial_refund,refunded item value,6,4
H-1030,missing_item,bread not in the bag,partial_refund,refunded item value,27,4
H-1031,refund_pending,money not back for cancelled order,escalation,sent to payments team,16,5
H-1032,quality_issue,curd delivered warm and spoiled,full_refund,refunded order,32,4
H-1033,quality_issue,fruits were rotten,partial_refund,refunded item,17,4
H-1034,refund_pending,refund shows processed but not in bank,refund_reissue,refund re-triggered,35,4
H-1035,refund_pending,refund not received after 5 days,escalation,sent to payments team,20,5
H-1036,order_late,delivery way past promised time,apology_no_action,SLA breach < threshold,44,3
H-1037,order_late,order took 45 minutes instead of 10,apology_no_action,SLA breach < threshold,10,4
H-1038,missing_item,milk packet missing from my order,redelivery,missing item re-sent,20,3
H-1039,refund_pending,money not back for cancelled order,refund_reissue,refund re-triggered,19,3
H-1040,quality_issue,curd delivered warm and spoiled,partial_refund,refunded item,30,4
H-1041,order_late,delivery way past promised time,apology_no_action,SLA breach < threshold,30,5
H-1042,wrong_item,wrong brand of rice delivered,redelivery,correct item dispatched,20,4
H-1043,missing_item,bread not in the bag,partial_refund,refunded item value,30,4
H-1044,wrong_item,wrong brand of rice delivered,redelivery,correct item dispatched,14,5
H-1045,wrong_item,received someone else's order,partial_refund,refunded difference,30,3
H-1046,missing_item,1 of 3 items missing from delivery,partial_refund,refunded item value,17,3
H-1047,missing_item,ordered 5 items got only 4,partial_refund,refunded item value,18,3
H-1048,quality_issue,curd delivered warm and spoiled,partial_refund,refunded item,17,5
H-1049,refund_pending,money not back for cancelled order,refund_reissue,refund re-triggered,9,4
H-1050,wrong_item,got salted butter instead of unsalted,partial_refund,refunded difference,13,4
H-1051,wrong_item,received someone else's order,partial_refund,refunded difference,41,4
H-1052,missing_item,milk packet missing from my order,partial_refund,refunded item value,35,5
H-1053,refund_pending,refund shows processed but not in bank,refund_reissue,refund re-triggered,18,4
H-1054,wrong_item,got salted butter instead of unsalted,redelivery,correct item dispatched,14,4
H-1055,refund_pending,refund not received after 5 days,escalation,sent to payments team,45,5
H-1056,refund_pending,refund not received after 5 days,refund_reissue,refund re-triggered,14,4
H-1057,missing_item,1 of 3 items missing from delivery,partial_refund,refunded item value,41,4
H-1058,refund_pending,money not back for cancelled order,escalation,sent to payments team,18,5
H-1059,missing_item,1 of 3 items missing from delivery,partial_refund,refunded item value,39,4
H-1060,order_late,order took 45 minutes instead of 10,coupon,issued ₹50 coupon,9,3
H-1061,wrong_item,wrong brand of rice delivered,partial_refund,refunded difference,34,4
H-1062,quality_issue,eggs broken in package,full_refund,refunded order,34,4
H-1063,wrong_item,got salted butter instead of unsalted,partial_refund,refunded difference,25,4
H-1064,wrong_item,got salted butter instead of unsalted,partial_refund,refunded difference,20,5
H-1065,missing_item,bread not in the bag,partial_refund,refunded item value,17,4
H-1066,wrong_item,got salted butter instead of unsalted,partial_refund,refunded difference,18,5
H-1067,refund_pending,refund not received after 5 days,refund_reissue,refund re-triggered,8,4
H-1068,refund_pending,money not back for cancelled order,escalation,sent to payments team,43,5
H-1069,refund_pending,money not back for cancelled order,escalation,sent to payments team,25,4
H-1070,refund_pending,money not back for cancelled order,refund_reissue,refund re-triggered,22,4
H-1071,missing_item,1 of 3 items missing from delivery,redelivery,missing item re-sent,30,5
H-1072,quality_issue,curd delivered warm and spoiled,full_refund,refunded order,10,3
H-1073,refund_pending,money not back for cancelled order,escalation,sent to payments team,12,5
H-1074,wrong_item,wrong brand of rice delivered,redelivery,correct item dispatched,34,4
H-1075,missing_item,1 of 3 items missing from delivery,redelivery,missing item re-sent,32,3
H-1076,order_late,delivery way past promised time,apology_no_action,SLA breach < threshold,10,3
H-1077,refund_pending,refund not received after 5 days,refund_reissue,refund re-triggered,30,4
H-1078,missing_item,ordered 5 items got only 4,partial_refund,refunded item value,11,4
H-1079,wrong_item,got salted butter instead of unsalted,redelivery,correct item dispatched,20,4
H-1080,order_late,delivery way past promised time,apology_no_action,SLA breach < threshold,8,4
H-1081,order_late,still waiting after 30 min,coupon,issued ₹50 coupon,25,4
H-1082,refund_pending,money not back for cancelled order,refund_reissue,refund re-triggered,9,4
H-1083,wrong_item,got salted butter instead of unsalted,partial_refund,refunded difference,39,5
H-1084,wrong_item,received someone else's order,redelivery,correct item dispatched,15,4
H-1085,order_late,delivery way past promised time,apology_no_action,SLA breach < threshold,15,4
H-1086,wrong_item,wrong brand of rice delivered,redelivery,correct item dispatched,39,5
H-1087,quality_issue,curd delivered warm and spoiled,partial_refund,refunded item,30,3
H-1088,order_late,delivery way past promised time,apology_no_action,SLA breach < threshold,23,5
H-1089,wrong_item,wrong brand of rice delivered,partial_refund,refunded difference,30,5
H-1090,refund_pending,money not back for cancelled order,refund_reissue,refund re-triggered,4,5
H-1091,missing_item,1 of 3 items missing from delivery,redelivery,missing item re-sent,11,5
H-1092,wrong_item,received someone else's order,redelivery,correct item dispatched,35,4
H-1093,order_late,order took 45 minutes instead of 10,apology_no_action,SLA breach < threshold,28,4
H-1094,refund_pending,money not back for cancelled order,escalation,sent to payments team,36,5
H-1095,missing_item,1 of 3 items missing from delivery,partial_refund,refunded item value,20,3
H-1096,wrong_item,wrong brand of rice delivered,redelivery,correct item dispatched,39,5
H-1097,wrong_item,got salted butter instead of unsalted,redelivery,correct item dispatched,40,5
H-1098,missing_item,milk packet missing from my order,partial_refund,refunded item value,38,5
H-1099,order_late,delivery way past promised time,coupon,issued ₹50 coupon,43,4
H-1100,wrong_item,received someone else's order,partial_refund,refunded difference,3,5
H-1101,quality_issue,fruits were rotten,partial_refund,refunded item,7,3
H-1102,order_late,delivery way past promised time,coupon,issued ₹50 coupon,9,4
H-1103,order_late,still waiting after 30 min,coupon,issued ₹50 coupon,4,5
H-1104,refund_pending,refund not received after 5 days,refund_reissue,refund re-triggered,10,4
H-1105,refund_pending,refund not received after 5 days,refund_reissue,refund re-triggered,18,5
H-1106,wrong_item,received someone else's order,partial_refund,refunded difference,42,3
H-1107,refund_pending,refund shows processed but not in bank,escalation,sent to payments team,4,4
H-1108,order_late,order took 45 minutes instead of 10,coupon,issued ₹50 coupon,35,5
H-1109,order_late,still waiting after 30 min,apology_no_action,SLA breach < threshold,21,4
H-1110,missing_item,ordered 5 items got only 4,redelivery,missing item re-sent,45,4
H-1111,refund_pending,refund shows processed but not in bank,refund_reissue,refund re-triggered,9,5
H-1112,refund_pending,refund not received after 5 days,refund_reissue,refund re-triggered,4,4
H-1113,refund_pending,refund shows processed but not in bank,escalation,sent to payments team,27,3
H-1114,quality_issue,fruits were rotten,full_refund,refunded order,44,5
H-1115,refund_pending,money not back for cancelled order,escalation,sent to payments team,11,5
H-1116,refund_pending,refund not received after 5 days,refund_reissue,refund re-triggered,13,4
H-1117,quality_issue,curd delivered warm and spoiled,partial_refund,refunded item,36,5
H-1118,quality_issue,fruits were rotten,partial_refund,refunded item,44,4
H-1119,wrong_item,wrong brand of rice delivered,partial_refund,refunded difference,11,4
